State	NPA-NXX	Ocn 	Company                                                     	RateCenter 	EffectiveDate	Use	AssignDate	Initial/Growth File Updated 01/16/2012
FL 	941-407	    	                                                            	           	          	UA	          	  
FL 	941-408	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-411	    	                                                            	           	          	UA	          	  
FL 	941-412	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-416	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	VENICE     	          	AS	          	  
FL 	941-421	7421	"AT&T LOCAL"                                                	PTCHARLOTT 	          	AS	11/07/2001	I 
FL 	941-423	0328	"VERIZON FLORIDA INC."                                      	NORTH PORT 	          	AS	          	  
FL 	941-426	0328	"VERIZON FLORIDA INC."                                      	NORTH PORT 	          	AS	          	  
FL 	941-429	0328	"VERIZON FLORIDA INC."                                      	NORTH PORT 	          	AS	          	  
FL 	941-441	8692	"US LEC OF FLORIDA, INC."                                   	VENICE     	          	AS	          	  
FL 	941-444	4802	"LEVEL 3 COMMUNICATIONS, LLC - FL"                          	SARASOTA   	          	AS	11/26/2010	G 
FL 	941-445	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	VENICE     	          	AS	10/16/2002	G 
FL 	941-447	6701	"AERIAL COMMUNICATIONS"                                     	BRADENTON  	          	AS	          	  
FL 	941-448	6664	"SPRINT SPECTRUM L.P."                                      	BRADENTON  	          	AS	05/17/2001	G 
FL 	941-451	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	VENICE     	          	AS	01/14/2010	G 
FL 	941-456	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	PTCHARLOTT 	          	AS	          	  
FL 	941-457	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	PTCHARLOTT 	          	AS	          	  
FL 	941-460	0328	"VERIZON FLORIDA INC."                                      	ENGLEWOOD  	          	AS	          	  
FL 	941-462	5562	"METRO PCS, INC."                                           	BRADENTON  	          	AS	02/23/2006	G 
FL 	941-465	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	BRADENTON  	          	AS	08/15/2005	G 
FL 	941-467	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	PTCHARLOTT 	          	AS	08/02/2002	G 
FL 	941-468	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	VENICE     	          	AS	          	  
FL 	941-473	0328	"VERIZON FLORIDA INC."                                      	ENGLEWOOD  	          	AS	          	  
FL 	941-474	0328	"VERIZON FLORIDA INC."                                      	ENGLEWOOD  	          	AS	          	  
FL 	941-475	0328	"VERIZON FLORIDA INC."                                      	ENGLEWOOD  	          	AS	          	  
FL 	941-479	4802	"LEVEL 3 COMMUNICATIONS, LLC - FL"                          	PALMETTO   	          	AS	12/29/2005	I 
FL 	941-480	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-483	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-484	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-485	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-486	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-487	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-488	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-492	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-493	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-496	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-497	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-504	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	SARASOTA   	          	AS	          	  
FL 	941-505	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PUNTAGORDA 	          	AS	          	  
FL 	941-506	6630	"USA MOBILITY WIRELESS, INC."                               	SARASOTA   	          	AS	          	  
FL 	941-511	    	                                                            	           	          	UA	          	  
FL 	941-518	6664	"SPRINT SPECTRUM L.P."                                      	BRADENTON  	          	AS	          	  
FL 	941-524	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	BRADENTON  	          	AS	05/18/2001	G 
FL 	941-525	7421	"AT&T LOCAL"                                                	VENICE     	          	AS	05/24/2001	I 
FL 	941-526	7421	"AT&T LOCAL"                                                	BRADENTON  	          	AS	08/21/2001	I 
FL 	941-527	6100	"XO FLORIDA, INC."                                          	BRADENTON  	          	AS	          	  
FL 	941-531	8664	"INTERMEDIA COMMUNICATIONS INC. - FL"                       	PALMETTO   	          	AS	08/30/2001	I 
FL 	941-536	8664	"INTERMEDIA COMMUNICATIONS INC. - FL"                       	SARASOTA   	          	AS	          	  
FL 	941-538	8664	"INTERMEDIA COMMUNICATIONS INC. - FL"                       	BRADENTON  	          	AS	          	  
FL 	941-539	6664	"SPRINT SPECTRUM L.P."                                      	SARASOTA   	          	AS	          	  
FL 	941-544	6664	"SPRINT SPECTRUM L.P."                                      	SARASOTA   	          	AS	          	  
FL 	941-545	6664	"SPRINT SPECTRUM L.P."                                      	BRADENTON  	          	AS	          	  
FL 	941-548	7131	"TELCOVE INVESTMENT, LLC - FL"                              	ENGLEWOOD  	          	AS	06/07/2001	I 
FL 	941-549	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	SARASOTA   	          	AS	06/18/2010	G 
FL 	941-550	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	           	          	UA	          	  
FL 	941-552	8692	"US LEC OF FLORIDA, INC."                                   	SARASOTA   	          	AS	          	  
FL 	941-554	8300	"TCG SOUTH FLORIDA"                                         	SARASOTA   	          	AS	          	  
FL 	941-555	0328	"VERIZON FLORIDA INC."                                      	TAMPA      	          	UA	          	  
FL 	941-556	8660	"NUVOX COMMUNICATIONS"                                      	SARASOTA   	          	AS	          	  
FL 	941-559	5750	"HOSTING-NETWORK, INC."                                     	BOCAGRANDE 	          	AS	10/05/2001	I 
FL 	941-561	    	                                                            	           	          	UA	          	  
FL 	941-564	8692	"US LEC OF FLORIDA, INC."                                   	NORTH PORT 	          	AS	04/18/2005	I 
FL 	941-565	5562	"METRO PCS, INC."                                           	BRADENTON  	          	AS	01/30/2006	G 
FL 	941-567	6701	"AERIAL COMMUNICATIONS"                                     	BRADENTON  	          	AS	02/01/2006	G 
FL 	941-569	6630	"USA MOBILITY WIRELESS, INC."                               	SARASOTA   	          	AS	          	  
FL 	941-575	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PUNTAGORDA 	          	AS	          	  
FL 	941-576	5750	"HOSTING-NETWORK, INC."                                     	CAPE HAZE  	          	AS	10/05/2001	I 
FL 	941-580	5562	"METRO PCS, INC."                                           	BRADENTON  	          	AS	06/14/2005	I 
FL 	941-584	8660	"NUVOX COMMUNICATIONS"                                      	VENICE     	          	AS	          	  
FL 	941-585	6664	"SPRINT SPECTRUM L.P."                                      	PTCHARLOTT 	          	AS	01/19/2001	G 
FL 	941-586	6664	"SPRINT SPECTRUM L.P."                                      	SARASOTA   	          	AS	          	  
FL 	941-587	6664	"SPRINT SPECTRUM L.P."                                      	SARASOTA   	          	AS	          	  
FL 	941-592	5562	"METRO PCS, INC."                                           	BRADENTON  	          	AS	08/27/2005	G 
FL 	941-600	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	SARASOTA   	          	AS	10/25/2010	G 
FL 	941-611	    	                                                            	           	          	UA	          	  
FL 	941-613	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PTCHARLOTT 	          	AS	          	  
FL 	941-615	7635	"TW TELECOM OF FLORIDA L/P. - FL"                           	VENICE     	          	AS	          	  
FL 	941-621	7421	"AT&T LOCAL"                                                	PUNTAGORDA 	          	AS	12/18/2001	I 
FL 	941-623	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PTCHARLOTT 	          	AS	          	  
FL 	941-624	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PTCHARLOTT 	          	AS	          	  
FL 	941-625	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PTCHARLOTT 	          	AS	          	  
FL 	941-626	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	PTCHARLOTT 	          	AS	          	  
FL 	941-627	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PTCHARLOTT 	          	AS	          	  
FL 	941-628	6232	"NEXTEL COMMUNICATIONS, INC."                               	PTCHARLOTT 	          	AS	          	  
FL 	941-629	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PTCHARLOTT 	          	AS	          	  
FL 	941-637	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PUNTAGORDA 	          	AS	          	  
FL 	941-639	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PUNTAGORDA 	          	AS	          	  
FL 	941-650	6232	"NEXTEL COMMUNICATIONS, INC."                               	SARASOTA   	          	AS	          	  
FL 	941-655	4616	"DELTACOM, INC. - FL"                                       	PUNTAGORDA 	          	AS	10/19/2001	I 
FL 	941-661	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	PTCHARLOTT 	          	AS	          	  
FL 	941-662	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	CAPE HAZE  	          	AS	          	  
FL 	941-676	8660	"NUVOX COMMUNICATIONS"                                      	PUNTAGORDA 	          	AS	          	  
FL 	941-677	927D	"BRIGHT HOUSE NTWS INFORMATION SVCS (FLORIDA) - FL"         	MYAKKA     	          	AS	01/19/2006	I 
FL 	941-681	8300	"TCG SOUTH FLORIDA"                                         	ENGLEWOOD  	          	AS	          	  
FL 	941-684	7635	"TW TELECOM OF FLORIDA L/P. - FL"                           	SARASOTA   	          	AS	          	  
FL 	941-685	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	SARASOTA   	          	AS	          	  
FL 	941-689	    	                                                            	           	          	UA	          	  
FL 	941-697	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	CAPE HAZE  	          	AS	          	  
FL 	941-698	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	CAPE HAZE  	          	AS	          	  
FL 	941-700	    	                                                            	           	          	UA	          	  
FL 	941-702	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	SARASOTA   	          	AS	          	  
FL 	941-704	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	BRADENTON  	          	AS	          	  
FL 	941-705	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	BRADENTON  	          	AS	          	  
FL 	941-706	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-708	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-711	    	                                                            	           	          	UA	          	  
FL 	941-713	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	BRADENTON  	          	AS	          	  
FL 	941-714	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-715	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-716	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	VENICE     	          	AS	          	  
FL 	941-718	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	BRADENTON  	          	AS	          	  
FL 	941-720	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	BRADENTON  	          	AS	          	  
FL 	941-721	0328	"VERIZON FLORIDA INC."                                      	PALMETTO   	          	AS	          	  
FL 	941-722	0328	"VERIZON FLORIDA INC."                                      	PALMETTO   	          	AS	          	  
FL 	941-723	0328	"VERIZON FLORIDA INC."                                      	PALMETTO   	          	AS	          	  
FL 	941-724	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	SARASOTA   	          	AS	          	  
FL 	941-725	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	BRADENTON  	          	AS	          	  
FL 	941-726	6701	"AERIAL COMMUNICATIONS"                                     	SARASOTA   	          	AS	          	  
FL 	941-727	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-729	0328	"VERIZON FLORIDA INC."                                      	PALMETTO   	          	AS	          	  
FL 	941-730	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	BRADENTON  	          	AS	          	  
FL 	941-735	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	SARASOTA   	          	AS	07/10/2001	G 
FL 	941-737	6232	"NEXTEL COMMUNICATIONS, INC."                               	BRADENTON  	          	AS	          	  
FL 	941-739	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-740	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	PTCHARLOTT 	          	AS	          	  
FL 	941-741	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-742	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-743	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PTCHARLOTT 	          	AS	          	  
FL 	941-744	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-745	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-746	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-747	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-748	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-749	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-750	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-751	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-752	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-753	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-755	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-756	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-757	8660	"NUVOX COMMUNICATIONS"                                      	BRADENTON  	          	AS	          	  
FL 	941-758	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-759	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	BOCAGRANDE 	          	AS	          	  
FL 	941-761	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-762	6630	"USA MOBILITY WIRELESS, INC."                               	SARASOTA   	          	AS	          	  
FL 	941-763	6664	"SPRINT SPECTRUM L.P."                                      	PTCHARLOTT 	          	AS	          	  
FL 	941-764	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PTCHARLOTT 	          	AS	          	  
FL 	941-766	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PTCHARLOTT 	          	AS	          	  
FL 	941-769	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	PTCHARLOTT 	          	AS	          	  
FL 	941-772	    	                                                            	           	          	UA	          	  
FL 	941-773	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	BRADENTON  	          	AS	07/12/2002	G 
FL 	941-776	0328	"VERIZON FLORIDA INC."                                      	PALMETTO   	          	AS	          	  
FL 	941-778	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-779	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-780	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	SARASOTA   	          	AS	          	  
FL 	941-782	8692	"US LEC OF FLORIDA, INC."                                   	BRADENTON  	          	AS	          	  
FL 	941-786	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	VENICE     	          	AS	08/08/2001	G 
FL 	941-787	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	PTCHARLOTT 	          	AS	          	  
FL 	941-788	6906	"AMERICAN MESSAGING SERVICES, LLC"                          	PTCHARLOTT 	          	AS	          	  
FL 	941-792	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-794	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-795	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-796	6906	"AMERICAN MESSAGING SERVICES, LLC"                          	PUNTAGORDA 	          	AS	          	  
FL 	941-798	0328	"VERIZON FLORIDA INC."                                      	BRADENTON  	          	AS	          	  
FL 	941-799	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	BRADENTON  	          	AS	08/23/2007	G 
FL 	941-803	6100	"XO FLORIDA, INC."                                          	PALMETTO   	          	AS	          	  
FL 	941-806	4616	"DELTACOM, INC. - FL"                                       	SARASOTA   	          	AS	          	  
FL 	941-807	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	BRADENTON  	          	AS	          	  
FL 	941-809	6232	"NEXTEL COMMUNICATIONS, INC."                               	SARASOTA   	          	AS	          	  
FL 	941-811	    	                                                            	           	          	UA	          	  
FL 	941-812	6232	"NEXTEL COMMUNICATIONS, INC."                               	BRADENTON  	          	AS	11/13/2001	G 
FL 	941-813	    	                                                            	           	          	UA	          	  
FL 	941-814	4233	"GABRIEL WIRELESS, LLC"                                     	SARASOTA   	          	AS	          	  
FL 	941-815	6232	"NEXTEL COMMUNICATIONS, INC."                               	PTCHARLOTT 	          	AS	11/13/2001	G 
FL 	941-822	7562	"COMCAST PHONE OF FLORIDA, LLC - FL"                        	SARASOTA   	          	AS	06/22/2005	I 
FL 	941-827	7635	"TW TELECOM OF FLORIDA L/P. - FL"                           	BRADENTON  	          	AS	          	  
FL 	941-828	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	CAPE HAZE  	          	AS	          	  
FL 	941-830	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	CAPE HAZE  	          	AS	          	  
FL 	941-833	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	PUNTAGORDA 	          	AS	          	  
FL 	941-840	6664	"SPRINT SPECTRUM L.P."                                      	BRADENTON  	          	AS	10/25/2007	G 
FL 	941-843	6548	"ABC PAGING CITY BEEPERS, INC."                             	PTCHARLOTT 	          	AS	05/30/2001	I 
FL 	941-845	8692	"US LEC OF FLORIDA, INC."                                   	PALMETTO   	          	AS	          	  
FL 	941-847	7635	"TW TELECOM OF FLORIDA L/P. - FL"                           	PALMETTO   	          	AS	          	  
FL 	941-850	    	                                                            	           	          	UA	          	  
FL 	941-855	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	BOCAGRANDE 	          	AS	          	  
FL 	941-856	6630	"USA MOBILITY WIRELESS, INC."                               	BRADENTON  	          	AS	          	  
FL 	941-861	7131	"TELCOVE INVESTMENT, LLC - FL"                              	VENICE     	          	AS	05/29/2001	G 
FL 	941-863	    	                                                            	           	          	UA	          	  
FL 	941-866	2547	"GLOBAL CROSSING LOCAL SERVICES, INC.-FL"                   	SARASOTA   	          	AS	          	  
FL 	941-870	6100	"XO FLORIDA, INC."                                          	SARASOTA   	          	AS	          	  
FL 	941-875	5562	"METRO PCS, INC."                                           	PTCHARLOTT 	          	AS	08/23/2001	I 
FL 	941-876	6100	"XO FLORIDA, INC."                                          	NORTH PORT 	          	AS	          	  
FL 	941-879	4616	"DELTACOM, INC. - FL"                                       	SARASOTA   	          	AS	          	  
FL 	941-882	3872	"THE ULTIMATE CONNECTION LC, DBA DAYSTAR COMM - FL"         	VENICE     	          	AS	02/06/2001	I 
FL 	941-883	3872	"THE ULTIMATE CONNECTION LC, DBA DAYSTAR COMM - FL"         	PTCHARLOTT 	          	AS	02/06/2001	I 
FL 	941-885	9748	"AMERICAN MESSAGING (AM), INC."                             	VENICE     	          	AS	          	  
FL 	941-886	6548	"ABC PAGING CITY BEEPERS, INC."                             	PALMETTO   	          	AS	          	  
FL 	941-888	018A	"ASTRO TEL, INC. - FL"                                      	NORTH PORT 	          	AS	11/09/2010	G 
FL 	941-889	4616	"DELTACOM, INC. - FL"                                       	PTCHARLOTT 	          	AS	          	  
FL 	941-893	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	SARASOTA   	          	AS	          	  
FL 	941-894	6100	"XO FLORIDA, INC."                                          	SARASOTA   	          	AS	          	  
FL 	941-896	5562	"METRO PCS, INC."                                           	BRADENTON  	          	AS	04/07/2006	G 
FL 	941-897	9748	"AMERICAN MESSAGING (AM), INC."                             	BRADENTON  	          	AS	          	  
FL 	941-904	    	                                                            	           	          	UA	          	  
FL 	941-906	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-907	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-911	    	                                                            	           	          	UA	          	  
FL 	941-914	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	SARASOTA   	          	AS	          	  
FL 	941-915	6232	"NEXTEL COMMUNICATIONS, INC."                               	SARASOTA   	          	AS	          	  
FL 	941-916	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	PUNTAGORDA 	          	AS	          	  
FL 	941-917	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-918	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-920	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	BRADENTON  	          	AS	          	  
FL 	941-921	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-922	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-923	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-924	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-925	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-926	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-927	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-928	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	SARASOTA   	          	AS	          	  
FL 	941-929	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-932	4802	"LEVEL 3 COMMUNICATIONS, LLC - FL"                          	BRADENTON  	          	AS	          	  
FL 	941-941	    	                                                            	           	          	UA	          	  
FL 	941-950	    	                                                            	           	          	UA	          	  
FL 	941-951	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-952	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-953	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-954	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-955	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-957	0328	"VERIZON FLORIDA INC."                                      	SARASOTA   	          	AS	          	  
FL 	941-958	    	                                                            	           	          	UA	          	  
FL 	941-959	    	                                                            	           	          	UA	          	  
FL 	941-960	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	SARASOTA   	          	AS	          	  
FL 	941-961	7421	"AT&T LOCAL"                                                	SARASOTA   	          	AS	          	  
FL 	941-962	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	BRADENTON  	          	AS	          	  
FL 	941-964	0341	"EMBARQ FLORIDA, INC. DBA CENTURYLINK"                      	BOCAGRANDE 	          	AS	          	  
FL 	941-966	0328	"VERIZON FLORIDA INC."                                      	VENICE     	          	AS	          	  
FL 	941-971	6754	"PRIORITY PAGING, INC."                                     	SARASOTA   	          	AS	          	  
FL 	941-972	6754	"PRIORITY PAGING, INC."                                     	SARASOTA   	          	AS	          	  
FL 	941-973	6754	"PRIORITY PAGING, INC."                                     	SARASOTA   	          	AS	          	  
FL 	941-974	6754	"PRIORITY PAGING, INC."                                     	SARASOTA   	          	AS	          	  
FL 	941-975	6754	"PRIORITY PAGING, INC."                                     	SARASOTA   	          	AS	          	  
FL 	941-976	    	                                                            	           	          	UA	          	  
FL 	941-977	6754	"PRIORITY PAGING, INC."                                     	SARASOTA   	          	AS	          	  
FL 	941-979	8660	"NUVOX COMMUNICATIONS"                                      	PTCHARLOTT 	          	AS	          	  
FL 	941-981	6100	"XO FLORIDA, INC."                                          	PALMETTO   	          	AS	          	  
FL 	941-988	6906	"AMERICAN MESSAGING SERVICES, LLC"                          	SARASOTA   	          	AS	          	  
FL 	941-993	4942	"GLOBAL NAPS, INC. - FL"                                    	SARASOTA   	          	AS	10/24/2002	I 
FL 	941-999	018A	"ASTRO TEL, INC. - FL"                                      	ENGLEWOOD  	          	AS	12/13/2010	G 
FL 	954-200	5562	"METRO PCS, INC."                                           	FTLAUDERDL 	          	AS	11/30/2006	G 
FL 	954-201	9417	"BELLSOUTH TELECOMM INC DBA SOUTHERN BELL TEL & TEL"        	FTLAUDERDL 	          	AS	04/25/2001	G 
FL 	954-202	9417	"BELLSOUTH TELECOMM INC DBA SOUTHERN BELL TEL & TEL"        	FTLAUDERDL 	          	AS	          	  
FL 	954-203	6664	"SPRINT SPECTRUM L.P."                                      	FTLAUDERDL 	03/02/2012	AS	12/29/2011	G 
FL 	954-204	6664	"SPRINT SPECTRUM L.P."                                      	DEERFLDBCH 	          	AS	08/22/2011	G 
FL 	954-205	6214	"NEW CINGULAR WIRELESS PCS, LLC - GA"                       	FTLAUDERDL 	          	AS	          	  
FL 	954-206	7131	"TELCOVE INVESTMENT, LLC - FL"                              	FTLAUDERDL 	          	AS	06/28/2004	G 
FL 	954-207	6630	"USA MOBILITY WIRELESS, INC."                               	FTLAUDERDL 	          	AS	          	  
FL 	954-208	7131	"TELCOVE INVESTMENT, LLC - FL"                              	FTLAUDERDL 	          	AS	07/07/2004	G 
FL 	954-209	6548	"ABC PAGING CITY BEEPERS, INC."                             	FTLAUDERDL 	          	AS	          	  
FL 	954-210	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	FTLAUDERDL 	          	AS	09/16/2011	G 
FL 	954-211	    	                                                            	           	          	UA	          	  
FL 	954-212	4942	"GLOBAL NAPS, INC. - FL"                                    	HOLLYWOOD  	          	AS	          	  
FL 	954-213	6502	"CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL"              	FTLAUDERDL 	          	AS	11/01/2006	G 
FL 	954-214	6232	"NEXTEL COMMUNICATIONS, INC."                               	FTLAUDERDL 	          	AS	          	  
FL 	954-215	6548	"ABC PAGING CITY BEEPERS, INC."                             	FTLAUDERDL 	          	AS	          	  
FL 	954-216	6548	"ABC PAGING CITY BEEPERS, INC."                             	FTLAUDERDL 	          	AS	          	  
